"EXERCÍCIO";"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO SUBORDINADO";"NOME ÓRGÃO SUBORDINADO";"CÓDIGO UNIDADE ORÇAMENTÁRIA";"NOME UNIDADE ORÇAMENTÁRIA";"CÓDIGO FUNÇÃO";"NOME FUNÇÃO";"CÓDIGO SUBFUNÇÃO";"NOME SUBFUNÇÃO";"CÓDIGO PROGRAMA ORÇAMENTÁRIO";"NOME PROGRAMA ORÇAMENTÁRIO";"CÓDIGO AÇÃO";"NOME AÇÃO";"CÓDIGO CATEGORIA ECONÔMICA";"NOME CATEGORIA ECONÔMICA";"CÓDIGO GRUPO DE DESPESA";"NOME GRUPO DE DESPESA";"CÓDIGO ELEMENTO DE DESPESA";"NOME ELEMENTO DE DESPESA";"ORÇAMENTO INICIAL (R$)";"ORÇAMENTO ATUALIZADO (R$)";"ORÇAMENTO EMPENHADO (R$)";"ORÇAMENTO REALIZADO (R$)";"% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)"
"2018";"03000";"Tribunal de Contas da União";"03000";"Tribunal de Contas da União - Unidades com vínculo direto";"03101";"TRIBUNAL DE CONTAS DA UNIAO";"01";"Legislativa";"032";"Controle externo";"0550";"CONTROLE EXTERNO";"4018";"FISCALIZACAO DA APLICACAO DOS RECURSOS PUBLICOS FEDERAIS";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0,00";"0,00";"856984,65";"775620,02";"0,00%"
"2018";"12000";"Justiça Federal";"12000";"Justiça Federal - Unidades com vínculo direto";"12101";"JUSTICA FEDERAL DE PRIMEIRO GRAU";"02";"Judiciária";"061";"Ação judiciária";"0569";"PRESTACAO JURISDICIONAL NA JUSTICA FEDERAL";"4257";"JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"36";"Outros Serviços de Terceiros - Pessoa Física";"0,00";"0,00";"6300,00";"6300,00";"0,00%"
"2018";"20000";"Presidência da República";"20101";"Presidência da República";"20118";"AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN";"06";"Segurança pública";"331";"Proteção e benefícios ao trabalhador";"2101";"PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"08";"Outros Benefícios Assistenciais do servidor e do militar";"621969,68";"621969,68";"621969,68";"583815,23";"93,87%"
"2018";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"121";"Planejamento e orçamento";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"2E24";"FORMULACAO, DESENVOLVIMENTO E CAPACITACAO PARA PARTICIPACAO SOCIAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"918340,00";"0,00";"0,00";"0,00";"0,00%"
"2018";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"131";"Comunicação social";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"4641";"PUBLICIDADE DE UTILIDADE PUBLICA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"1125000,00";"812439,00";"0,00";"0,00";"0,00%"
"2018";"20000";"Presidência da República";"20415";"Empresa Brasil de Comunicação";"20415";"EMPRESA BRASIL DE COMUNICACAO";"24";"Comunicações";"122";"Administração geral";"2101";"PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"216H";"AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"129600,00";"129600,00";"0,00";"0,00";"0,00%"
"2018";"20000";"Presidência da República";"20101";"Presidência da República";"20118";"AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN";"06";"Segurança pública";"183";"Informação e inteligência";"2101";"PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"2684";"ACOES DE INTELIGENCIA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"18";"Auxílio Financeiro a Estudantes";"90000,00";"90000,00";"90000,00";"0,00";"0,00%"
"2018";"20000";"Presidência da República";"20101";"Presidência da República";"20118";"AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN";"06";"Segurança pública";"331";"Proteção e benefícios ao trabalhador";"2101";"PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"46";"Auxílio-Alimentação";"5874314,60";"5874314,60";"5874314,60";"5400326,24";"91,93%"
"2018";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"121";"Planejamento e orçamento";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"2E24";"FORMULACAO, DESENVOLVIMENTO E CAPACITACAO PARA PARTICIPACAO SOCIAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"5320698,84";"4471656,84";"0,00";"0,00";"0,00%"
"2018";"20000";"Presidência da República";"20415";"Empresa Brasil de Comunicação";"20415";"EMPRESA BRASIL DE COMUNICACAO";"99";"Reserva de contingência";"999";"Reserva de contingência";"0999";"RESERVA DE CONTINGENCIA";"0Z00";"RESERVA DE CONTINGENCIA - FINANCEIRA";"9";"RESERVA DE CONTINGENCIA";"9";"Reserva de Contingência";"00";"Não informado";"71039924,00";"71039924,00";"0,00";"0,00";"0,00%"
