"EXERCÍCIO";"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO SUBORDINADO";"NOME ÓRGÃO SUBORDINADO";"CÓDIGO UNIDADE ORÇAMENTÁRIA";"NOME UNIDADE ORÇAMENTÁRIA";"CÓDIGO FUNÇÃO";"NOME FUNÇÃO";"CÓDIGO SUBFUNÇÃO";"NOME SUBFUNÇÃO";"CÓDIGO PROGRAMA ORÇAMENTÁRIO";"NOME PROGRAMA ORÇAMENTÁRIO";"CÓDIGO AÇÃO";"NOME AÇÃO";"CÓDIGO CATEGORIA ECONÔMICA";"NOME CATEGORIA ECONÔMICA";"CÓDIGO GRUPO DE DESPESA";"NOME GRUPO DE DESPESA";"CÓDIGO ELEMENTO DE DESPESA";"NOME ELEMENTO DE DESPESA";"ORÇAMENTO INICIAL (R$)";"ORÇAMENTO ATUALIZADO (R$)";"ORÇAMENTO EMPENHADO (R$)";"ORÇAMENTO REALIZADO (R$)";"% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)"
"2022";"14000";"Justiça Eleitoral";"14000";"Justiça Eleitoral - Unidades com vínculo direto";"14101";"TRIBUNAL SUPERIOR ELEITORAL";"02";"Judiciária";"061";"Ação judiciária";"0033";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO";"4269";"PLEITOS ELEITORAIS";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"30";"Material de Consumo";"0,00";"0,00";"46474461,94";"44908925,57";"0,00%"
"2022";"14000";"Justiça Eleitoral";"14000";"Justiça Eleitoral - Unidades com vínculo direto";"14101";"TRIBUNAL SUPERIOR ELEITORAL";"02";"Judiciária";"061";"Ação judiciária";"0033";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO";"4269";"PLEITOS ELEITORAIS";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"52";"Equipamentos e Material Permanente";"0,00";"0,00";"731862,63";"731862,63";"0,00%"
"2022";"14000";"Justiça Eleitoral";"14000";"Justiça Eleitoral - Unidades com vínculo direto";"14101";"TRIBUNAL SUPERIOR ELEITORAL";"02";"Judiciária";"061";"Ação judiciária";"0033";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO";"4269";"PLEITOS ELEITORAIS";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0,00";"0,00";"45543723,83";"42646574,29";"0,00%"
"2022";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"6662";"FORMULACAO E DESENVOLVIMENTO DE POLITICAS E ESTRATEGIAS DE LONGO PRAZO";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"14";"Diárias - Civil";"548544,49";"548544,49";"548544,49";"548544,49";"100,00%"
"2022";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"211";"Relações diplomáticas";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"15ST";"ACESSAO A ORGANIZACAO PARA A COOPERACAO E DESENVOLVIMENTO ECONOMICO - OCDE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"628000,00";"28000,00";"0,00";"0,00";"0,00%"
"2022";"20000";"Presidência da República";"20116";"Fundo de Imprensa Nacional";"20927";"FUNDO DE IMPRENSA NACIONAL";"04";"Administração";"846";"Outros encargos especiais";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"09HB";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"13";"Obrigações Patronais";"2027189,60";"2027189,60";"2027189,60";"2027189,60";"100,00%"
"2022";"20000";"Presidência da República";"20101";"Presidência da República";"20118";"AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN";"06";"Segurança pública";"846";"Outros encargos especiais";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"09HB";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"13";"Obrigações Patronais";"51336924,00";"51336924,00";"51336924,00";"50773090,87";"98,90%"
"2022";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"6662";"FORMULACAO E DESENVOLVIMENTO DE POLITICAS E ESTRATEGIAS DE LONGO PRAZO";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"241002,65";"91002,65";"0,00";"0,00";"0,00%"
"2022";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"211";"Relações diplomáticas";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"15ST";"ACESSAO A ORGANIZACAO PARA A COOPERACAO E DESENVOLVIMENTO ECONOMICO - OCDE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"9256252,80";"9256252,80";"9256252,80";"9256252,80";"100,00%"
"2022";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"4002";"SEGURANCA INSTITUCIONAL";"4693";"SEGURANCA INSTITUCIONAL DO PRESIDENTE DA REPUBLICA E DO VICE-PRESIDENTE DA REPUBLICA, RESPECTIVOS FAMILIARES, E OUTRAS AUTORIDADES";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"52";"Equipamentos e Material Permanente";"461380,38";"461380,38";"461328,67";"139193,96";"30,17%"
